Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,1634.000000,1646.099976,1626.199951,1634.250000,1613.159058,803386
2017-06-05,1633.699951,1638.949951,1625.000000,1635.550049,1614.442383,724975
2017-06-06,1635.000000,1643.800049,1630.000000,1638.949951,1617.798462,1250658
2017-06-07,1640.400024,1644.900024,1630.349976,1640.800049,1619.624634,638569
2017-06-08,1643.900024,1659.400024,1641.650024,1644.750000,1623.523560,1062192
2017-06-09,1640.099976,1670.000000,1640.099976,1666.800049,1645.289063,1326318
2017-06-12,1664.000000,1676.000000,1660.000000,1668.750000,1647.213867,992853
2017-06-13,1661.750000,1691.900024,1661.000000,1676.699951,1655.061157,1262905
2017-06-14,1675.000000,1679.949951,1667.000000,1671.199951,1649.632202,964590
2017-06-15,1668.000000,1675.599976,1653.599976,1664.349976,1642.870605,881673
2017-06-16,1665.000000,1674.699951,1658.099976,1669.250000,1647.707397,938776
2017-06-19,1671.000000,1696.000000,1668.400024,1692.900024,1671.052246,956383
2017-06-20,1690.000000,1694.000000,1679.849976,1686.550049,1664.784180,915066
2017-06-21,1682.599976,1701.250000,1679.599976,1698.699951,1676.777344,852733
2017-06-22,1694.949951,1716.000000,1691.199951,1698.000000,1676.086426,1668865
2017-06-23,1702.000000,1702.750000,1675.199951,1678.650024,1656.986084,1304367
2017-06-27,1689.000000,1695.000000,1656.250000,1667.650024,1646.128052,1500108
2017-06-28,1665.000000,1675.000000,1657.800049,1666.449951,1644.943481,1112259
2017-06-29,1667.000000,1681.900024,1651.099976,1663.050049,1652.495361,2296927
2017-06-30,1653.800049,1660.000000,1643.000000,1652.050049,1641.565186,1082608
2017-07-03,1652.599976,1667.500000,1647.250000,1658.599976,1648.073486,876083
2017-07-04,1660.250000,1666.699951,1652.000000,1653.349976,1642.856812,941520
2017-07-05,1653.099976,1659.500000,1645.000000,1648.750000,1638.286011,1003550
2017-07-06,1652.550049,1663.000000,1651.349976,1658.150024,1647.626465,1142919
2017-07-07,1660.849976,1669.599976,1658.000000,1667.199951,1656.618896,1379349
